loan_id,age,income,loan_amount,credit_score,months_employed,interest_rate,debt_to_income_ratio,education,employment_type,marital_status,has_mortgage,has_dependents,loan_purpose,has_co_signer,default
1,56,125186,23546,427,75,9.512702736795951,0.38651177322331554,High School,Self-employed,Single,Yes,Yes,Auto,Yes,0
2,69,54674,24129,528,281,19.208229977123466,0.891604266707458,Bachelor,Unemployed,Divorced,No,Yes,Auto,No,0
3,46,55854,6591,410,370,20.55329621961678,0.6474513991402758,PhD,Part-time,Married,Yes,Yes,Home,Yes,0
4,32,66271,16303,435,402,21.734535233166273,0.8591845336376011,Bachelor,Full-time,Married,Yes,No,Education,Yes,1
5,60,93688,35561,661,108,24.9454508402496,0.2140452440264925,PhD,Full-time,Single,Yes,Yes,Business,Yes,1
6,25,58518,11183,485,187,7.55441916090796,0.40571157986605544,Master,Full-time,Single,Yes,No,Home,Yes,1
7,38,131076,31572,428,198,2.928069017773093,0.5437854426258835,PhD,Full-time,Single,No,No,Home,No,1
8,56,30267,39080,560,302,11.457404913875477,0.16140644951099042,PhD,Part-time,Married,No,No,Personal,No,0
9,36,110825,25695,814,326,4.991855406065779,0.1033499549023663,High School,Full-time,Divorced,No,Yes,Education,No,1
10,40,21062,12314,748,153,2.5157954507272677,0.636347467037534,PhD,Self-employed,Divorced,Yes,No,Education,No,1
11,28,136664,24623,403,39,10.28981702425418,0.6134556134411483,PhD,Self-employed,Single,No,No,Business,No,1
12,28,70448,7139,782,132,20.025979774730438,0.42863104799968943,Bachelor,Full-time,Divorced,Yes,No,Education,Yes,0
13,41,115462,36290,523,404,15.02215589817663,0.4917152608256261,Master,Self-employed,Single,Yes,No,Home,Yes,1
14,53,26229,23088,790,461,9.193893751838143,0.4323544004736717,Bachelor,Unemployed,Divorced,Yes,Yes,Education,Yes,0
15,57,76793,44692,772,131,17.049866126332553,0.1192040358759111,Bachelor,Part-time,Married,No,No,Education,Yes,0
16,41,134813,38130,309,278,7.336418147102647,0.36829728497396996,Master,Full-time,Single,No,No,Auto,No,1
17,20,67915,37088,704,361,2.3307732596579553,0.24166580431783188,Master,Full-time,Divorced,Yes,No,Home,No,1
18,39,24632,31292,601,83,19.58012788803783,0.178739351281095,PhD,Part-time,Married,No,No,Education,Yes,0
19,19,124592,25670,530,398,16.34609095187221,0.8653763471114798,PhD,Self-employed,Divorced,No,Yes,Education,No,0
20,41,23596,8738,365,241,19.53296036352208,0.5794877800337325,High School,Part-time,Married,Yes,No,Personal,Yes,1
21,61,129779,7469,411,115,2.8955743838163093,0.6829250273892822,Bachelor,Part-time,Married,Yes,No,Education,Yes,0
22,47,26168,27534,312,108,21.253751440105,0.35229099461289404,Master,Self-employed,Divorced,No,No,Education,No,1
23,55,128099,14017,692,220,16.249102600834977,0.41451770359521223,PhD,Part-time,Divorced,Yes,No,Auto,No,0
24,19,27561,7808,799,391,14.958093066390724,0.2895391951173788,Master,Self-employed,Married,Yes,No,Home,No,0
25,38,93794,17713,533,40,16.366123106634227,0.1775725367723398,PhD,Self-employed,Married,No,No,Business,No,0
26,50,102152,45329,613,367,21.881964677972373,0.24322530995326705,High School,Part-time,Married,No,Yes,Home,No,0
27,29,145036,7719,311,146,15.499539650854862,0.7380112362371887,High School,Unemployed,Single,Yes,No,Personal,No,1
28,39,144049,27890,508,111,15.361858737428124,0.6420366441470207,Master,Self-employed,Married,No,Yes,Home,No,1
29,61,46734,16700,313,102,24.785620612512613,0.5375431007883815,High School,Part-time,Single,Yes,Yes,Education,Yes,0
30,42,26371,41509,717,45,19.404793842577064,0.48007189829341446,Master,Self-employed,Married,Yes,No,Personal,No,1
31,66,138894,47534,736,411,12.172757525376111,0.8379474269248995,PhD,Unemployed,Single,No,Yes,Home,Yes,0
32,44,46069,41766,676,474,18.27013100075734,0.15818795822293474,Bachelor,Unemployed,Married,Yes,No,Personal,Yes,1
33,59,99905,31705,319,323,10.952300848911134,0.3244806505903328,High School,Full-time,Married,Yes,Yes,Business,No,1
34,45,32910,23787,369,377,7.264135637120477,0.3799502828565713,PhD,Self-employed,Married,Yes,No,Home,Yes,1
35,33,93479,31588,510,270,15.727593168418467,0.7259406497702303,Bachelor,Self-employed,Divorced,No,Yes,Education,No,0
36,32,97735,31123,400,420,23.348188256620883,0.8940116961295771,Bachelor,Part-time,Divorced,No,Yes,Personal,Yes,1
37,64,101264,38062,431,384,23.370208960355644,0.29253641180572243,Bachelor,Self-employed,Married,No,No,Auto,Yes,1
38,68,43275,15177,680,194,9.863821396426278,0.7994458673096645,PhD,Full-time,Single,Yes,Yes,Personal,Yes,0
39,61,92274,26727,431,366,14.136581723098985,0.764498208345433,PhD,Unemployed,Single,Yes,Yes,Auto,No,1
40,69,101449,35220,319,279,6.867625667106807,0.2797259181134133,Master,Unemployed,Married,No,Yes,Education,Yes,1
41,20,120776,14882,835,282,24.89951551847432,0.41946606415937804,Bachelor,Full-time,Divorced,No,Yes,Business,Yes,0
42,54,80004,6136,526,39,24.56571188096252,0.4277382954340153,Bachelor,Self-employed,Single,No,Yes,Auto,Yes,1
43,68,82981,39832,453,446,16.93870538327129,0.8825765348212466,Bachelor,Self-employed,Divorced,Yes,No,Business,No,1
44,24,104659,36966,768,188,20.501523372581886,0.24471352110311867,Master,Full-time,Single,No,Yes,Personal,Yes,0
45,38,74553,12009,704,163,18.4473037095251,0.7393263768838256,Bachelor,Part-time,Married,Yes,Yes,Education,No,0
